box,box occupant,edge distance,season,eventID,repeated use,sp,cs,e,tm
boxrh20,tree martin,794,2016,boxrh202016,no,0,0,0,1
boxrh21,tree martin,841,2016,boxrh212016,no,0,0,0,1
boxrh23,tree martin,802,2016,boxrh232016,no,0,0,0,1
boxrh24,tree martin,839,2016,boxrh242016,no,0,0,0,1
boxrh25,tree martin,825,2016,boxrh252016,no,0,0,0,1
boxrh26,tree martin,743,2016,boxrh262016,no,0,0,0,1
boxrh27,tree martin,789,2016,boxrh272016,no,0,0,0,1
boxrh28,tree martin,767,2016,boxrh282016,no,0,0,0,1
boxrh31,tree martin,718,2016,boxrh312016,no,0,0,0,1
boxrh35,tree martin,754,2016,boxrh352016,no,0,0,0,1
boxrh39,tree martin,835,2016,boxrh392016,no,0,0,0,1
boxrh40,tree martin,710,2016,boxrh402016,no,0,0,0,1
boxrh41,tree martin,727,2016,boxrh412016,no,0,0,0,1
boxrh42,tree martin,731,2016,boxrh422016,no,0,0,0,1
boxrh43,tree martin,704,2016,boxrh432016,no,0,0,0,1
boxrh44,tree martin,758,2016,boxrh442016,no,0,0,0,1
boxrh45,tree martin,763,2016,boxrh452016,no,0,0,0,1
boxrh46,tree martin,740,2016,boxrh462016,no,0,0,0,1
boxrh48,tree martin,29,2016,boxrh482016,no,0,0,0,1
boxrh50,tree martin,14,2016,boxrh502016,no,0,0,0,1
boxrh51,tree martin,14,2016,boxrh512016,no,0,0,0,1
boxrh52,tree martin,16,2016,boxrh522016,no,0,0,0,1
boxrh53,tree martin,7,2016,boxrh532016,no,0,0,0,1
boxrh54,tree martin,66,2016,boxrh542016,no,0,0,0,1
boxrh61,tree martin,135,2016,boxrh612016,no,0,0,0,1
boxrh69,tree martin,115,2016,boxrh692016,no,0,0,0,1
boxrh70,tree martin,135,2016,boxrh702016,no,0,0,0,1
boxrh77,tree martin,89,2016,boxrh772016,no,0,0,0,1
boxrh91,tree martin,141,2016,boxrh912016,no,0,0,0,1
boxrh01,tree martin,820,2019,boxrh012019,no,0,0,0,1
boxrh02,tree martin,866,2019,boxrh022019,no,0,0,0,1
boxrh04,tree martin,808,2019,boxrh042019,no,0,0,0,1
boxrh07,tree martin,779,2019,boxrh072019,no,0,0,0,1
boxrh08,tree martin,762,2019,boxrh082019,no,0,0,0,1
boxrh09,tree martin,735,2019,boxrh092019,no,0,0,0,1
boxrh10,tree martin,730,2019,boxrh102019,no,0,0,0,1
boxrh120,tree martin,377,2019,boxrh1202019,no,0,0,0,1
boxrh12,tree martin,697,2019,boxrh122019,no,0,0,0,1
boxrh139,tree martin,400,2019,boxrh1392019,no,0,0,0,1
boxrh14,tree martin,806,2019,boxrh142019,no,0,0,0,1
boxrh15,tree martin,688,2019,boxrh152019,no,0,0,0,1
boxrh16,tree martin,782,2019,boxrh162019,no,0,0,0,1
boxrh21,tree martin,841,2019,boxrh212019,no,0,0,0,1
boxrh22,tree martin,1072,2019,boxrh222019,no,0,0,0,1
boxrh23,tree martin,802,2019,boxrh232019,no,0,0,0,1
boxrh24,tree martin,839,2019,boxrh242019,no,0,0,0,1
boxrh25,tree martin,825,2019,boxrh252019,no,0,0,0,1
boxrh26,tree martin,743,2019,boxrh262019,no,0,0,0,1
boxrh27,tree martin,789,2019,boxrh272019,no,0,0,0,1
boxrh28,tree martin,767,2019,boxrh282019,no,0,0,0,1
boxrh29,tree martin,705,2019,boxrh292019,no,0,0,0,1
boxrh31,tree martin,718,2019,boxrh312019,no,0,0,0,1
boxrh32,tree martin,735,2019,boxrh322019,no,0,0,0,1
boxrh33,tree martin,745,2019,boxrh332019,no,0,0,0,1
boxrh34,tree martin,732,2019,boxrh342019,no,0,0,0,1
boxrh35,tree martin,754,2019,boxrh352019,no,0,0,0,1
boxrh36,tree martin,778,2019,boxrh362019,no,0,0,0,1
boxrh37,tree martin,946,2019,boxrh372019,no,0,0,0,1
boxrh39,tree martin,835,2019,boxrh392019,no,0,0,0,1
boxrh40,tree martin,710,2019,boxrh402019,no,0,0,0,1
boxrh41,tree martin,727,2019,boxrh412019,no,0,0,0,1
boxrh43,tree martin,704,2019,boxrh432019,no,0,0,0,1
boxrh44,tree martin,758,2019,boxrh442019,no,0,0,0,1
boxrh45,tree martin,763,2019,boxrh452019,no,0,0,0,1
boxrh46,tree martin,740,2019,boxrh462019,no,0,0,0,1
boxrh128,tree martin,544,2019,boxrh1282019,yes,0,0,0,1
boxrh129,tree martin,577,2019,boxrh1292019,yes,0,0,0,1
boxrh135,tree martin,270,2019,boxrh1352019,yes,0,0,0,1
boxrh17,tree martin,695,2019,boxrh172019,yes,0,0,0,1
boxrh42,tree martin,731,2019,boxrh422019,yes,0,0,0,1
boxrh54,tree martin,66,2019,boxrh542019,yes,0,0,0,1
boxrh77,tree martin,89,2019,boxrh772019,yes,0,0,0,1
